page_id,wikidata_id,actor,sexLabel,nativeLanguageLabel,countryOfCitizenshipLabel,ethnicGroupLabel
106405,Q77181,Emil Jannings,male,,Germany,
142784,Q312073,Warner Baxter,male,English,United States of America,
7605117,Q182229,George Arliss,male,,United Kingdom,
67022,Q295593,Lionel Barrymore,male,English,United States of America,
142834,Q322179,Wallace Beery,male,English,United States of America,
63556,Q181819,Fredric March,male,English,United States of America,
61641,Q55264,Charles Laughton,male,English,United Kingdom,
42083,Q71243,Clark Gable,male,English,United States of America,
45360,Q329577,Victor McLaglen,male,English,United Kingdom,
45188,Q182292,Paul Muni,male,,United States of America,
45782,Q71275,Spencer Tracy,male,English,United States of America,
84878,Q116983,Robert Donat,male,,United Kingdom,
16273,Q102462,James Stewart,male,,United States of America,
44359,Q93957,Gary Cooper,male,English,United States of America,
16046,Q94041,James Cagney,male,,United States of America,
145646,Q182057,Paul Lukas,male,Hungarian,United States of America,
4010,Q72984,Bing Crosby,male,English,United States of America,
53505,Q181774,Ray Milland,male,English,United Kingdom,
142841,Q181786,Ronald Colman,male,,United Kingdom,
43675,Q55245,Laurence Olivier,male,,United Kingdom,
154686,Q182349,Broderick Crawford,male,English,United States of America,
113471,Q312098,José Ferrer,male,English,United States of America,Puerto Ricans
14045,Q16390,Humphrey Bogart,male,American English,United States of America,
147352,Q95002,William Holden,male,English,United States of America,
19903,Q34012,Marlon Brando,male,,United States of America,
161436,Q102551,Ernest Borgnine,male,English,United States of America,
61797,Q102813,Yul Brynner,male,,Far Eastern Republic,
19672828,Q103894,Alec Guinness,male,,United Kingdom,
53762,Q181917,David Niven,male,British English,United Kingdom,
46165,Q80739,Charlton Heston,male,English,United States of America,
4537,Q160528,Burt Lancaster,male,English,United States of America,
161516,Q153018,Maximilian Schell,male,,Switzerland,
77491,Q108366,Gregory Peck,male,,United States of America,
46052,Q104049,Sidney Poitier,male,English,United States of America,African Americans
99019,Q181887,Rex Harrison,male,British English,United Kingdom,
18433,Q76895,Lee Marvin,male,English,United States of America,
67943,Q223988,Paul Scofield,male,,United Kingdom,
61258,Q273215,Rod Steiger,male,English,United States of America,
161898,Q181899,Cliff Robertson,male,,United States of America,
16103,Q40531,John Wayne,male,English,United States of America,
82847,Q182450,George C. Scott,male,,United States of America,
12561,Q150943,Gene Hackman,male,English,United States of America,
15821,Q94123,Jack Lemmon,male,English,United States of America,
163461,Q182431,Art Carney,male,English,United States of America,
18617829,Q39792,Jack Nicholson,male,American English,United States of America,
170975,Q294454,Peter Finch,male,,United Kingdom,
159625,Q181799,Richard Dreyfuss,male,English,United States of America,
16521,Q167520,Jon Voight,male,English,United States of America,
42148,Q42930,Dustin Hoffman,male,English,United States of America,
20913302,Q36949,Robert De Niro,male,English,United States of America,
46228,Q19155,Henry Fonda,male,,United States of America,
168480,Q173158,Ben Kingsley,male,,United Kingdom,
161266,Q171736,Robert Duvall,male,,United States of America,
168494,Q181936,F. Murray Abraham,male,,United States of America,
168534,Q105825,William Hurt,male,,United States of America,
49706,Q41871,Paul Newman,male,English,United States of America,
78781,Q119798,Michael Douglas,male,English,United States of America,
171003,Q166389,Daniel Day-Lewis,male,,United Kingdom,Jewish people
26274410,Q171745,Jeremy Irons,male,,United Kingdom,
2397,Q65932,Anthony Hopkins,male,English,United Kingdom,
41906,Q41163,Al Pacino,male,,United States of America,Sicilian Americans
43568,Q2263,Tom Hanks,male,English,United States of America,
21111,Q42869,Nicolas Cage,male,English,United States of America,Italian Americans
171515,Q166272,Geoffrey Rush,male,,Australia,
46344,Q23301,Roberto Benigni,male,Italian,Italy,
16768,Q25144,Kevin Spacey,male,English,United States of America,
25695,Q129817,Russell Crowe,male,English,New Zealand,New Zealanders
100692,Q42101,Denzel Washington,male,English,United States of America,African Americans
200750,Q104514,Adrien Brody,male,English,United States of America,
113746,Q44221,Sean Penn,male,English,United States of America,
325191,Q171905,Jamie Foxx,male,English,United States of America,African Americans
564099,Q180560,Philip Seymour Hoffman,male,English,United States of America,
634431,Q182763,Forest Whitaker,male,English,United States of America,
56439,Q174843,Jeff Bridges,male,English,United States of America,
170409,Q162492,Colin Firth,male,British English,United Kingdom,
16272829,Q189422,Jean Dujardin,male,French,France,
27834683,Q188955,Matthew McConaughey,male,English,United States of America,German Americans
7028414,Q28288,Eddie Redmayne,male,,United Kingdom,
52711,Q38111,Leonardo DiCaprio,male,English,United States of America,
689839,Q270730,Casey Affleck,male,English,United States of America,
213163,Q83492,Gary Oldman,male,English,United Kingdom,
4109849,Q375590,Rami Malek,male,,Egypt,
178826,Q185140,Joaquin Phoenix,male,English,United States of America,
154698,Q40096,Will Smith,male,English,United States of America,African Americans
386491,Q193555,Brendan Fraser,male,English,United States of America,
481634,Q202589,Cillian Murphy,male,English,Ireland,Irish people
45794,Q182462,Janet Gaynor,female,,United States of America,
18823,Q104109,Mary Pickford,female,English,Canada,
61354,Q95019,Norma Shearer,female,English,United States of America,
177739,Q253282,Marie Dressler,female,,United States of America,
177771,Q213302,Helen Hayes,female,,United States of America,
43337,Q56016,Katharine Hepburn,female,English,United States of America,
61350,Q203819,Claudette Colbert,female,,United States of America,
63517,Q71206,Bette Davis,female,,United States of America,
180908,Q18994,Luise Rainer,female,,Germany,
32788,Q129429,Vivien Leigh,female,English,United Kingdom,
64612,Q95089,Ginger Rogers,female,,United States of America,
180982,Q95076,Joan Fontaine,female,English,United Kingdom,
63534,Q182486,Greer Garson,female,,United Kingdom,
67375,Q189895,Jennifer Jones,female,English,United States of America,
41562,Q43247,Ingrid Bergman,female,,Sweden,
45969,Q40475,Joan Crawford,female,,United States of America,
88833,Q95068,Olivia de Havilland,female,,United Kingdom,
183759,Q253384,Loretta Young,female,,United States of America,
183753,Q95055,Jane Wyman,female,English,United States of America,
187074,Q253298,Judy Holliday,female,,United States of America,
187098,Q253308,Shirley Booth,female,,United States of America,
52139,Q42786,Audrey Hepburn,female,Dutch,United Kingdom,
42620,Q3925,Grace Kelly,female,American English,United States of America,
190388,Q56011,Anna Magnani,female,,Italy,
193843,Q1111542,Joanne Woodward,female,English,United States of America,
183785,Q248837,Susan Hayward,female,English,United States of America,
62032,Q106126,Simone Signoret,female,French,France,
42357,Q34851,Elizabeth Taylor,female,,United Kingdom,
44463,Q43252,Sophia Loren,female,,Italy,
206724,Q183532,Anne Bancroft,female,,United States of America,Italian Americans
210214,Q191027,Patricia Neal,female,English,United States of America,
78239,Q161819,Julie Andrews,female,British English,United Kingdom,
163347,Q181413,Julie Christie,female,,United Kingdom,
72336,Q4636,Barbra Streisand,female,English,United States of America,
82765,Q172653,Maggie Smith,female,British English,United Kingdom,
163012,Q182408,Glenda Jackson,female,English,United Kingdom,
63520,Q41142,Jane Fonda,female,English,United States of America,
59216,Q14441,Liza Minnelli,female,American English,United States of America,
186041,Q211144,Ellen Burstyn,female,English,United States of America,
225497,Q182372,Louise Fletcher,female,English,United States of America,
68322,Q168721,Faye Dunaway,female,English,United States of America,
202664,Q102642,Diane Keaton,female,,United States of America,
240361,Q187033,Sally Field,female,English,United States of America,
63523,Q190994,Sissy Spacek,female,English,United States of America,
63390,Q873,Meryl Streep,female,English,United States of America,
147368,Q95026,Shirley MacLaine,female,English,United States of America,
206714,Q228650,Geraldine Page,female,,United States of America,
182870,Q213287,Marlee Matlin,female,English,United States of America,
80696,Q12003,Cher,female,English,United States of America,
18717883,Q41351,Jodie Foster,female,English,United States of America,
84047,Q182104,Jessica Tandy,female,,United Kingdom,
519607,Q544465,Kathy Bates,female,English,United States of America,
160985,Q168724,Emma Thompson,female,English,United Kingdom,
18220755,Q105660,Holly Hunter,female,,United States of America,
67763,Q173585,Jessica Lange,female,,United States of America,
68323,Q133050,Susan Sarandon,female,,United States of America,
275355,Q204299,Frances McDormand,female,English,United States of America,
44569,Q170574,Helen Hunt,female,English,United States of America,
42621,Q34460,Gwyneth Paltrow,female,,United States of America,
92289,Q93187,Hilary Swank,female,English,United States of America,
16553,Q40523,Julia Roberts,female,English,United States of America,
13717,Q1033016,Halle Berry,female,English,United States of America,African Americans
21504,Q37459,Nicole Kidman,female,English,United States of America,
5132,Q80046,Charlize Theron,female,Afrikaans,United States of America,
93560,Q44063,Reese Witherspoon,female,American English,United States of America,
230698,Q349391,Helen Mirren,female,English,United Kingdom,
2539269,Q8927,Marion Cotillard,female,French,France,
52707,Q202765,Kate Winslet,female,,United Kingdom,
29455,Q40791,Sandra Bullock,female,English,Germany,
38459,Q37876,Natalie Portman,female,English,United States of America,
12684530,Q189490,Jennifer Lawrence,female,English,United States of America,British Americans
160126,Q80966,Cate Blanchett,female,English,United States of America,
243685,Q80405,Julianne Moore,female,English,United Kingdom,
1339248,Q29328,Brie Larson,female,French,United States of America,
3741746,Q147077,Emma Stone,female,English,United States of America,British Americans
1856120,Q7088045,Olivia Colman,female,British English,United Kingdom,
204352,Q122614,Renée Zellweger,female,English,United States of America,
17181314,Q229313,Jessica Chastain,female,English,United States of America,
147873,Q214289,Michelle Yeoh,female,,Malaysia,
477177,Q219521,Walter Brennan,male,English,United States of America,
768336,Q93632,Joseph Schildkraut,male,English,United States of America,
768351,Q317026,Thomas Mitchell (actor),male,,United States of America,
774001,Q367073,Donald Crisp,male,,United Kingdom,
774567,Q350678,Van Heflin,male,,United States of America,
774609,Q350690,Charles Coburn,male,English,United States of America,
145649,Q290666,Barry Fitzgerald,male,,Ireland,
779236,Q471281,James Dunn (actor),male,,United States of America,
660337,Q457279,Harold Russell,male,,United States of America,
779283,Q344750,Edmund Gwenn,male,,United Kingdom,
145064,Q162621,Walter Huston,male,,United States of America,
779306,Q471309,Dean Jagger,male,English,United States of America,
463180,Q296491,George Sanders,male,,United Kingdom,
342375,Q94992,Karl Malden,male,,United Kingdom,
43913,Q83484,Anthony Quinn,male,Spanish,United States of America,
11181,Q40912,Frank Sinatra,male,American English,United States of America,Italian Americans
779370,Q119935,Edmond O'Brien,male,English,United States of America,
650385,Q313198,Red Buttons,male,,United States of America,
158061,Q315723,Burl Ives,male,,United States of America,
779392,Q310934,Hugh Griffith,male,,United Kingdom,
167975,Q55796,Peter Ustinov,male,,United Kingdom,
779431,Q336841,George Chakiris,male,English,United States of America,
779475,Q318312,Ed Begley,male,English,United States of America,
161914,Q312084,Melvyn Douglas,male,English,United States of America,
709244,Q312107,Martin Balsam,male,,United States of America,
62811,Q202172,Walter Matthau,male,,United States of America,
614519,Q298818,George Kennedy,male,English,United States of America,
68308,Q344735,Jack Albertson,male,English,United States of America,
779698,Q344758,Gig Young,male,English,United States of America,
153655,Q315728,John Mills,male,,United Kingdom,
438651,Q349166,Ben Johnson (actor),male,English,United States of America,
598493,Q316641,Joel Grey,male,English,United States of America,
323164,Q315734,John Houseman,male,,United Kingdom,
70020,Q344793,George Burns,male,English,United States of America,
312482,Q296630,Jason Robards,male,English,United States of America,
167790,Q185051,Christopher Walken,male,,United States of America,
598491,Q310324,Timothy Hutton,male,English,United States of America,
167961,Q204685,John Gielgud,male,,United Kingdom,
598484,Q329719,Louis Gossett Jr.,male,English,United States of America,
420922,Q312364,Haing S. Ngor,male,,Cambodia,
520931,Q310413,Don Ameche,male,,United States of America,
61479,Q123351,Michael Caine,male,,United Kingdom,
26709,Q4573,Sean Connery,male,English,United Kingdom,
221558,Q105817,Kevin Kline,male,,United States of America,
277463,Q20178,Joe Pesci,male,English,United States of America,
598470,Q193653,Jack Palance,male,,United States of America,
248127,Q170587,Tommy Lee Jones,male,,United States of America,
261053,Q294641,Martin Landau,male,,United States of America,
158106,Q136209,Cuba Gooding Jr.,male,,United States of America,
53242,Q83338,Robin Williams,male,English,United States of America,
148905,Q4227,James Coburn,male,English,United States of America,
292592,Q193668,Benicio del Toro,male,Spanish,United States of America,
271275,Q185079,Jim Broadbent,male,,United Kingdom,
580137,Q273208,Chris Cooper,male,English,United States of America,
269416,Q95048,Tim Robbins,male,English,United States of America,
20584,Q48337,Morgan Freeman,male,English,United States of America,African Americans
158889,Q23844,George Clooney,male,English,United States of America,
161895,Q108283,Alan Arkin,male,English,United States of America,
171593,Q134895,Javier Bardem,male,,Spain,
17173785,Q40572,Heath Ledger,male,English,Australia,
8104201,Q76819,Christoph Waltz,male,,Germany,
331124,Q45772,Christian Bale,male,British English,United Kingdom,
343134,Q190523,Christopher Plummer,male,English,Canada,
483360,Q484523,Jared Leto,male,English,United States of America,
1086198,Q150482,J. K. Simmons,male,English,United States of America,Americans
2227406,Q324572,Mark Rylance,male,,United Kingdom,
2214063,Q360531,Mahershala Ali,male,English,United States of America,
1360740,Q316446,Sam Rockwell,male,,United States of America,
44849,Q35332,Brad Pitt,male,English,United States of America,British Americans
9405817,Q510970,Daniel Kaluuya,male,,United Kingdom,
68502180,Q3508016,Troy Kotsur,male,American Sign Language,United States of America,
266346,Q445017,Ke Huy Quan,male,Vietnamese,United States of America,
171045,Q165219,Robert Downey Jr.,male,English,United States of America,Swiss Americans
577751,Q233845,Gale Sondergaard,female,English,United States of America,
189229,Q233856,Alice Brady,female,,United States of America,
180971,Q152888,Fay Bainter,female,English,United States of America,
92343,Q228904,Hattie McDaniel,female,American English,United States of America,African Americans
765962,Q230159,Jane Darwell,female,,United States of America,
564303,Q232109,Mary Astor,female,English,United States of America,
181011,Q230136,Teresa Wright,female,English,United States of America,
17334,Q230128,Katina Paxinou,female,,Greece,
383248,Q230147,Ethel Barrymore,female,English,United States of America,
765450,Q239770,Anne Revere,female,,United States of America,
187081,Q228906,Anne Baxter,female,,United States of America,
710551,Q212957,Celeste Holm,female,English,United States of America,
362422,Q233850,Claire Trevor,female,English,United States of America,
533847,Q140017,Mercedes McCambridge,female,,United States of America,
215193,Q59525,Josephine Hull,female,,United States of America,
160624,Q59824,Kim Hunter,female,,United States of America,
690539,Q59314,Gloria Grahame,female,English,United States of America,
394902,Q224021,Donna Reed,female,English,United States of America,
216314,Q228928,Eva Marie Saint,female,,United States of America,
766048,Q233832,Jo Van Fleet,female,English,United States of America,
697796,Q230126,Dorothy Malone,female,English,United States of America,
766070,Q232588,Miyoshi Umeki,female,,Japan,
88291,Q230626,Wendy Hiller,female,,United Kingdom,
187094,Q202144,Shelley Winters,female,English,United States of America,
170516,Q230218,Shirley Jones,female,English,United States of America,
412879,Q230151,Rita Moreno,female,,United States of America,
575345,Q232538,Patty Duke,female,,United States of America,
59594,Q230143,Margaret Rutherford,female,,United Kingdom,
641260,Q232879,Lila Kedrova,female,,France,
766814,Q239691,Sandy Dennis,female,,United States of America,
768042,Q232541,Estelle Parsons,female,,United States of America,
25866,Q232562,Ruth Gordon,female,English,United States of America,
48071,Q188459,Goldie Hawn,female,English,United States of America,
521820,Q230131,Cloris Leachman,female,English,United States of America,
38563,Q239745,Eileen Heckart,female,,United States of America,
489204,Q230138,Tatum O'Neal,female,English,United States of America,
768141,Q230184,Lee Grant,female,,United States of America,
2150208,Q232532,Beatrice Straight,female,,United States of America,
63741,Q347879,Vanessa Redgrave,female,British English,United Kingdom,
155915,Q108935,Mary Steenburgen,female,English,United States of America,
768228,Q230841,Maureen Stapleton,female,,United States of America,
492152,Q232874,Linda Hunt,female,English,United States of America,
541421,Q230832,Peggy Ashcroft,female,,United Kingdom,
235312,Q190998,Anjelica Huston,female,English,United States of America,
618770,Q217573,Dianne Wiest,female,,United States of America,
356640,Q230188,Olympia Dukakis,female,English,United States of America,
217702,Q280098,Geena Davis,female,English,United States of America,
630976,Q230214,Brenda Fricker,female,,Ireland,
54985,Q49001,Whoopi Goldberg,female,,United States of America,African Americans
768280,Q232933,Mercedes Ruehl,female,,United States of America,
219358,Q191828,Marisa Tomei,female,,United States of America,
276341,Q199884,Anna Paquin,female,English,Canada,
277368,Q212026,Mira Sorvino,female,English,United States of America,
55117,Q106275,Juliette Binoche,female,French,France,
204467,Q131380,Kim Basinger,female,American English,United States of America,
85432,Q28054,Judi Dench,female,British English,United Kingdom,
5792809,Q13909,Angelina Jolie,female,English,United States of America,
385525,Q228931,Marcia Gay Harden,female,English,United States of America,
20647767,Q103343,Jennifer Connelly,female,American English,United States of America,Norwegian Americans
150996,Q47664,Catherine Zeta-Jones,female,,United Kingdom,
158448,Q134077,Rachel Weisz,female,English,United Kingdom,
518700,Q192410,Jennifer Hudson,female,,United States of America,
476044,Q200534,Tilda Swinton,female,,United Kingdom,
23006,Q39666,Penélope Cruz,female,,Spain,
1401564,Q229169,Mo'Nique,female,English,United States of America,
1363953,Q229410,Melissa Leo,female,English,United States of America,
8694199,Q229254,Octavia Spencer,female,English,United States of America,African Americans
604244,Q36301,Anne Hathaway,female,,United States of America,
38179119,Q3840847,Lupita Nyong'o,female,,Kenya,
400595,Q215976,Patricia Arquette,female,English,United States of America,
32601798,Q439314,Alicia Vikander,female,Swedish,Sweden,
6713737,Q229181,Viola Davis,female,,United States of America,
455047,Q229487,Allison Janney,female,English,United States of America,
1599816,Q234544,Regina King,female,English,United States of America,
3762237,Q220901,Laura Dern,female,American English,United States of America,
26143279,Q491013,Youn Yuh-jung,female,Korean,South Korea,
51868604,Q27733932,Ariana DeBose,female,English,United States of America,
68378,Q106997,Jamie Lee Curtis,female,English,United States of America,
35719670,Q5243751,Da'Vine Joy Randolph,female,,United States of America,
